route_number,pattern_number,direction,destination
002,EB1,EAST,DOWNTOWN
002,EB2,EAST,DOWNTOWN
002,WB1,WEST,MACDONALD
002,WB2,WEST,MACDONALD - 16TH
003,NB1,NORTH,DOWNTOWN
003,SB1,SOUTH,MAIN
003,SB2,SOUTH,MAIN-MARINE DR STN
004,EB1,EAST,POWELL
004,EB4,EAST,POWELL
004,EB6,EAST,POWELL
004,WB2,WEST,TO BLANCA
004,WB1,WEST,UBC
005,EB1,EAST,DOWNTOWN
005,EB3,EAST,DOWNTOWN
005,WB1,WEST,ROBSON
006,EB1,EAST,DOWNTOWN
006,WB1,WEST,DAVIE
006,WB2,WEST,DAVIE
007,EB1,EAST,NANAIMO STN
007,WB1,WEST,DUNBAR
008,EB1,EAST,FRASER
008,WB1,WEST,DOWNTOWN
008,WB5,WEST,FRASER TO 41ST
009,EB7,EAST,TO MAIN
010,NB1,NORTH,DOWNTOWN
010,SB1,SOUTH,GRANVILLE
014,EB2,EAST,DOWNTOWN
014,EB1,EAST,HASTINGS
014,EB4,EAST,HASTINGS
014,WB1,WEST,U B C
014,WB2,WEST,U B C
015,NB1,NORTH,OLYMPIC VILLAGE STN
015,SB1,SOUTH,CAMBIE
016,EB1,EAST,29TH AVE STN
016,EB3,EAST,TO KINGSWAY
016,WB1,WEST,ARBUTUS
016,WB5,WEST,ARBUTUS
016,WB8,WEST,ARBUTUS
017,EB1,EAST,OAK
017,WB1,WEST,DOWNTOWN
019,EB1,EAST,METROTOWN STN
019,E7,EAST,TO GRANVILLE
019,WB1,WEST,STANLEY PARK
020,NB1,NORTH,DOWNTOWN
020,SB1,SOUTH,VICTORIA
022,EB2,EAST,KNIGHT
022,EB3,EAST,KNIGHT TO 63RD
022,WB2,WEST,DOWNTOWN
022,WB4,WEST,DOWNTOWN
022,WB5,WEST,DOWNTOWN
026,E1,EAST,JOYCE STN
026,W1,WEST,29TH AVE STN
027,N1,NORTH,KOOTENAY LOOP
027,N2,NORTH,KOOTENAY LOOP
027,S1,SOUTH,JOYCE STN
027,S2B,SOUTH,JOYCE STN
028,N2B,NORTH,KOOTENAY LOOP
028,N1,NORTH,PHIBBS EXCH
028,S1,SOUTH,JOYCE STN
028,S2G,SOUTH,JOYCE STN
029,N1,NORTH,29TH AVE STN
029,S1,SOUTH,ELLIOTT
031,NB1,NORTH,METROTOWN STN
031,SB1,SOUTH,RIVER DISTRICT
033,EB1,EAST,29TH AVE STN
033,WB1,WEST,U B C
041,WB5,WEST,41ST & OAK
042,EB1,EAST,ALMA
042,WB1,WEST,SPANISH BANKS
049,EB1,EAST,METROTOWN STN
049,EB6,EAST,METROTOWN STN
049,WB1,WEST,UBC
050,NB1,NORTH,WATERFRONT STN
050,SB1,SOUTH,S. FALSE CREEK VIA GRANVILLE ISL.
068,NB1,NORTH,UBC EXCH
068,SB1,SOUTH,WESBROOK VILLAGE
084,EB1,EAST,VCC-CLARK STN  EXPRESS
084,WB1,WEST,UBC EXPRESS
099,E1,EAST,COMM'L-BDWAY STN
099,W1,WEST,UBC B-LINE
100,EB1,EAST,22ND ST STN
100,EB2,EAST,TO KNIGHT ST
100,WB1,WEST,MARPOLE
100,WB2,WEST,MARPOLE
101,EB1,EAST,LOUGHEED STN
101,WB1,WEST,22ND ST STN
103,EB3,EAST,NEW WEST STN
103,EB1,EAST,VICTORIA HILL
103,EB2,EAST,VICTORIA HILL
103,WB2,WEST,NEW WEST STN
103,WB1,WEST,QUAYSIDE
104,NB1,NORTH,22ND ST STN
104,SB1,SOUTH,ANNACIS ISLAND
105,EB1,EAST,UPTOWN
105,WB1,WEST,NEW WEST STN
109,NB1,NORTH,LOUGHEED STN
109,SB1,SOUTH,NEW WEST STN
110,EB1,EAST,LOUGHEED STN
110,WB1,WEST,METROTOWN STN
112,EB1,EAST,NEW WEST STN
112,EB3,EAST,NEW WEST STN
112,EB4,EAST,NEW WEST STN
112,WB1,WEST,EDMONDS STN
116,EB1,EAST,EDMONDS STN
116,WB1,WEST,METROTOWN STN
119,EB1,EAST,EDMONDS STN
123,EB1,EAST,NEW WEST STN
123,WB1,WEST,BRENTWOOD STN
128,EB1,EAST,BRAID STN
128,WB1,WEST,22ND ST STN
129,EB1,EAST,HOLDOM STN
129,EB2,EAST,HOLDOM STN
129,WB1,WEST,PATTERSON STN
130,N2B,NORTH,KOOTENAY LOOP
130,N1,NORTH,PHIBBS EXCH
130,N2C,NORTH,TO PENDER
130,N2D,NORTH,TO PENDER
130,S1,SOUTH,METROTOWN STN
130,S2B,SOUTH,METROTOWN STN
130,S2C,SOUTH,METROTOWN STN
131,EB1,EAST,HASTINGS AT GILMORE
131,WB1,WEST,KOOTENAY LOOP
132,NB1,NORTH,CAPITOL HILL
132,SB1,SOUTH,HASTINGS AT GILMORE
133,EB1,EAST,EDMONDS STN
133,EB2,EAST,EDMONDS STN
133,WB1,WEST,HOLDOM STN
133,WB2,WEST,HOLDOM STN
134,EB1,EAST,LAKE CITY STN
134,WB1,WEST,BRENTWOOD STN
134,WB2,WEST,BRENTWOOD STN
136,EB1,EAST,LOUGHEED STN
136,WB1,WEST,BRENTWOOD STN
144,NB1,NORTH,SFU
144,SB1,SOUTH,METROTOWN STN
145,NB1,NORTH,SFU
145,SB1,SOUTH,PRODUCTION STN
146,NB1,NORTH,METROTOWN STN
146,SB1,SOUTH,SUNCREST
147,EB1,EAST,EDMONDS STN
147,WB1,WEST,METROTOWN STN
148,EB1,EAST,EDMONDS STN
148,WB1,WEST,ROYAL OAK STN
151,EB1,EAST,COQ CTRL STN
151,WB1,WEST,BURQUITLAM STN
153,EB1,EAST,COQ CTRL STN
153,WB1,WEST,BRAID STN
155,EB1,EAST,BRAID STN
155,WB1,WEST,22ND ST STN
156,EB1,EAST,BRAID STN
156,WB1,WEST,LOUGHEED STN
157,EB1,EAST,BURQUITLAM STN
157,WB1,WEST,LOUGHEED STN
159,WB1,WEST,BRAID STN
160,EB1,EAST,PT COQ STN
160,WB1,WEST,KOOTENAY LOOP
169,EB1,EAST,COQ CTRL STN
169,WB1,WEST,BRAID STN
170,NB1,NORTH,PT COQ STN
170,SB1,SOUTH,PT COQ SOUTH
171,EB1,EAST,FREMONT
171,WB1,WEST,COQ CTRL STN
172,EB1,EAST,RIVERSIDE
172,WB1,WEST,COQ CTRL STN
173,EB1,EAST,CEDAR
173,EB2,EAST,CEDAR
173,WB1,WEST,COQ CTRL STN
174,EB1,EAST,ROCKLIN
174,EB2,EAST,ROCKLIN
174,WB1,WEST,COQ CTRL STN
180,NB1,NORTH,MOODY CTR STN
180,SB1,SOUTH,LOUGHEED STN
181,NB2,NORTH,BELCARRA
181,NB1,NORTH,IOCO
181,SB1,SOUTH,MOODY CTR STN
181,SB2,SOUTH,MOODY CTR STN
